Gender,Ethnicity,Child's First Name,Count
FEMALE,HISPANIC,Aaliyah,56
MALE,HISPANIC,Emmanuel,56
FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,56
MALE,ASIAN AND PACIFIC ISLANDER,Henry,56
FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,56
MALE,WHITE NON HISPANIC,Levi,56
MALE,BLACK NON HISPANIC,Malachi,56
MALE,WHITE NON HISPANIC,Aaron,55
FEMALE,WHITE NON HISPANIC,Baila,55
MALE,ASIAN AND PACIFIC ISLANDER,Benjamin,55
MALE,HISPANIC,Gael,55
FEMALE,HISPANIC,Gianna,55
MALE,HISPANIC,Joel,55
FEMALE,WHITE NON HISPANIC,Raizy,55
FEMALE,WHITE NON HISPANIC,Riley,55
MALE,HISPANIC,Steven,55
MALE,HISPANIC,Thiago,55
FEMALE,HISPANIC,Zoey,55
FEMALE,ASIAN AND PACIFIC ISLANDER,Angela,54
MALE,WHITE NON HISPANIC,Ezra,54
FEMALE,ASIAN AND PACIFIC ISLANDER,Grace,54
MALE,HISPANIC,Jason,54
MALE,ASIAN AND PACIFIC ISLANDER,Mason,54
MALE,ASIAN AND PACIFIC ISLANDER,Nathan,54
MALE,HISPANIC,Santiago,54
FEMALE,BLACK NON HISPANIC,Savannah,54
FEMALE,WHITE NON HISPANIC,Toby,54
FEMALE,WHITE NON HISPANIC,Valentina,54
MALE,BLACK NON HISPANIC,Zion,54
MALE,HISPANIC,Alex,53
MALE,ASIAN AND PACIFIC ISLANDER,Alexander,53
MALE,WHITE NON HISPANIC,Ali,53
FEMALE,ASIAN AND PACIFIC ISLANDER,Ava,53
FEMALE,WHITE NON HISPANIC,Eleanor,53
FEMALE,WHITE NON HISPANIC,Naomi,53
MALE,WHITE NON HISPANIC,Shaya,53
MALE,HISPANIC,Alejandro,52
FEMALE,HISPANIC,Amy,52
MALE,BLACK NON HISPANIC,Daniel,52
FEMALE,HISPANIC,Daniela,52
MALE,HISPANIC,Nicolas,52
FEMALE,BLACK NON HISPANIC,Chloe,51
MALE,WHITE NON HISPANIC,Dov,51
MALE,ASIAN AND PACIFIC ISLANDER,Leo,51
FEMALE,HISPANIC,Nicole,51
MALE,WHITE NON HISPANIC,Simon,51
MALE,ASIAN AND PACIFIC ISLANDER,Vincent,51
MALE,HISPANIC,William,51
MALE,HISPANIC,Damian,50
MALE,BLACK NON HISPANIC,Kayden,50
MALE,WHITE NON HISPANIC,Ari,49
MALE,HISPANIC,Austin,49
MALE,ASIAN AND PACIFIC ISLANDER,Ian,49
FEMALE,ASIAN AND PACIFIC ISLANDER,Joanna,49
FEMALE,HISPANIC,Juliette,49
FEMALE,BLACK NON HISPANIC,Olivia,49
FEMALE,WHITE NON HISPANIC,Rose,49
FEMALE,HISPANIC,Sarah,49
MALE,WHITE NON HISPANIC,Tzvi,49
FEMALE,BLACK NON HISPANIC,Abigail,48
MALE,HISPANIC,Adam,48
FEMALE,WHITE NON HISPANIC,Caroline,48
FEMALE,HISPANIC,Charlotte,48
FEMALE,WHITE NON HISPANIC,Claire,48
FEMALE,BLACK NON HISPANIC,Fatoumata,48
FEMALE,HISPANIC,Jade,48
MALE,HISPANIC,Juan,48
FEMALE,WHITE NON HISPANIC,Madeline,48
FEMALE,HISPANIC,Mila,48
MALE,WHITE NON HISPANIC,Oscar,48
MALE,WHITE NON HISPANIC,Adrian,47
MALE,WHITE NON HISPANIC,Avraham,47
MALE,BLACK NON HISPANIC,Ayden,47
MALE,WHITE NON HISPANIC,Edward,47
MALE,WHITE NON HISPANIC,Hunter,47
MALE,HISPANIC,Isaiah,47
MALE,HISPANIC,Jace,47
MALE,WHITE NON HISPANIC,Jonah,47
MALE,BLACK NON HISPANIC,Kaiden,47
FEMALE,WHITE NON HISPANIC,Maria,47
MALE,BLACK NON HISPANIC,Messiah,47
FEMALE,WHITE NON HISPANIC,Shaindy,47
FEMALE,WHITE NON HISPANIC,Talia,47
MALE,WHITE NON HISPANIC,Vincent,47
MALE,HISPANIC,Bryan,46
FEMALE,WHITE NON HISPANIC,Devorah,46
MALE,ASIAN AND PACIFIC ISLANDER,Dylan,46
MALE,WHITE NON HISPANIC,Harrison,46
FEMALE,HISPANIC,Katherine,46
FEMALE,HISPANIC,Kylie,46
FEMALE,WHITE NON HISPANIC,Nora,46
FEMALE,BLACK NON HISPANIC,Peyton,46
FEMALE,WHITE NON HISPANIC,Ruby,46
MALE,ASIAN AND PACIFIC ISLANDER,Andrew,45
FEMALE,HISPANIC,Bella,45
FEMALE,WHITE NON HISPANIC,Chany,45
MALE,ASIAN AND PACIFIC ISLANDER,Jacob,45
FEMALE,WHITE NON HISPANIC,Lila,45
MALE,BLACK NON HISPANIC,Mohamed,45
MALE,BLACK NON HISPANIC,Samuel,45
MALE,WHITE NON HISPANIC,Zev,45
FEMALE,BLACK NON HISPANIC,Zoe,45
FEMALE,ASIAN AND PACIFIC ISLANDER,Amelia,44
MALE,BLACK NON HISPANIC,Christopher,44
FEMALE,WHITE NON HISPANIC,Fiona,44
FEMALE,HISPANIC,Grace,44
FEMALE,BLACK NON HISPANIC,Isabella,44
MALE,HISPANIC,Jayce,44
MALE,ASIAN AND PACIFIC ISLANDER,Jonathan,44
FEMALE,WHITE NON HISPANIC,Josephine,44
MALE,ASIAN AND PACIFIC ISLANDER,Kyle,44
MALE,BLACK NON HISPANIC,Kyrie,44
FEMALE,WHITE NON HISPANIC,Lucy,44
FEMALE,HISPANIC,Riley,44
FEMALE,BLACK NON HISPANIC,Faith,43
FEMALE,HISPANIC,Gabriela,43
FEMALE,WHITE NON HISPANIC,Natalie,43
FEMALE,WHITE NON HISPANIC,Rebecca,43
MALE,WHITE NON HISPANIC,Solomon,43
MALE,WHITE NON HISPANIC,Yaakov,43
MALE,HISPANIC,Abraham,42
FEMALE,WHITE NON HISPANIC,Amina,42
FEMALE,ASIAN AND PACIFIC ISLANDER,Arya,42
MALE,WHITE NON HISPANIC,Christian,42
FEMALE,ASIAN AND PACIFIC ISLANDER,Ella,42
FEMALE,ASIAN AND PACIFIC ISLANDER,Evelyn,42
MALE,ASIAN AND PACIFIC ISLANDER,Ivan,42
FEMALE,HISPANIC,Kayla,42
MALE,HISPANIC,Matteo,42
MALE,HISPANIC,Nathaniel,42
MALE,BLACK NON HISPANIC,Ryan,42
FEMALE,BLACK NON HISPANIC,Autumn,41
MALE,WHITE NON HISPANIC,Eliezer,41
MALE,ASIAN AND PACIFIC ISLANDER,James,41
MALE,BLACK NON HISPANIC,Jayce,41
MALE,BLACK NON HISPANIC,Justin,41
MALE,WHITE NON HISPANIC,Leon,41
MALE,WHITE NON HISPANIC,Leonardo,41
FEMALE,BLACK NON HISPANIC,London,41
MALE,WHITE NON HISPANIC,Peter,41
FEMALE,WHITE NON HISPANIC,Sadie,41
FEMALE,WHITE NON HISPANIC,Samantha,41
FEMALE,WHITE NON HISPANIC,Scarlett,41
FEMALE,WHITE NON HISPANIC,Sloane,41
FEMALE,ASIAN AND PACIFIC ISLANDER,Ariana,40
MALE,BLACK NON HISPANIC,Caleb,40
FEMALE,WHITE NON HISPANIC,Clara,40
FEMALE,WHITE NON HISPANIC,Eliana,40
MALE,HISPANIC,Evan,40
FEMALE,WHITE NON HISPANIC,Gianna,40
MALE,HISPANIC,Jordan,40
FEMALE,WHITE NON HISPANIC,Liliana,40
MALE,ASIAN AND PACIFIC ISLANDER,Michael,40
MALE,BLACK NON HISPANIC,Nathan,40
FEMALE,BLACK NON HISPANIC,Sophia,40
MALE,BLACK NON HISPANIC,Aaron,39
FEMALE,ASIAN AND PACIFIC ISLANDER,Alina,39
FEMALE,HISPANIC,Alyssa,39
FEMALE,HISPANIC,Ana,39
FEMALE,HISPANIC,Andrea,39
FEMALE,WHITE NON HISPANIC,Dina,39
FEMALE,WHITE NON HISPANIC,Isabelle,39
MALE,WHITE NON HISPANIC,Jake,39
MALE,HISPANIC,Johan,39
FEMALE,WHITE NON HISPANIC,Juliette,39
FEMALE,ASIAN AND PACIFIC ISLANDER,Maya,39
MALE,HISPANIC,Miguel,39
MALE,ASIAN AND PACIFIC ISLANDER,Samuel,39
MALE,WHITE NON HISPANIC,Wyatt,39
MALE,BLACK NON HISPANIC,Xavier,39
MALE,HISPANIC,Abel,38
MALE,WHITE NON HISPANIC,Aidan,38
FEMALE,WHITE NON HISPANIC,Angelina,38
FEMALE,HISPANIC,Aubrey,38
FEMALE,HISPANIC,Avery,38
MALE,ASIAN AND PACIFIC ISLANDER,Brian,38
FEMALE,BLACK NON HISPANIC,Brielle,38
FEMALE,WHITE NON HISPANIC,Chava,38
MALE,WHITE NON HISPANIC,Cole,38
MALE,HISPANIC,Derek,38
MALE,WHITE NON HISPANIC,Dovid,38
MALE,WHITE NON HISPANIC,Evan,38
MALE,HISPANIC,Iker,38
MALE,HISPANIC,Jake,38
FEMALE,BLACK NON HISPANIC,Malia,38
FEMALE,WHITE NON HISPANIC,Pearl,38
MALE,ASIAN AND PACIFIC ISLANDER,Syed,38
MALE,BLACK NON HISPANIC,Tristan,38
FEMALE,WHITE NON HISPANIC,Yocheved,38
FEMALE,HISPANIC,Adriana,37
MALE,HISPANIC,Adriel,37
MALE,ASIAN AND PACIFIC ISLANDER,Alex,37
MALE,BLACK NON HISPANIC,Amari,37
FEMALE,HISPANIC,Amaya,37
FEMALE,BLACK NON HISPANIC,Amelia,37
FEMALE,WHITE NON HISPANIC,Ariana,37
MALE,ASIAN AND PACIFIC ISLANDER,Brandon,37
MALE,WHITE NON HISPANIC,Grayson,37
MALE,HISPANIC,Hunter,37
MALE,ASIAN AND PACIFIC ISLANDER,Ibrahim,37
MALE,BLACK NON HISPANIC,Jace,37
FEMALE,WHITE NON HISPANIC,Katherine,37
FEMALE,WHITE NON HISPANIC,Lillian,37
FEMALE,HISPANIC,Maya,37
MALE,WHITE NON HISPANIC,Mendel,37
FEMALE,BLACK NON HISPANIC,Mia,37
MALE,WHITE NON HISPANIC,Mohamed,37
MALE,WHITE NON HISPANIC,Moses,37
FEMALE,WHITE NON HISPANIC,Nina,37
MALE,WHITE NON HISPANIC,Nolan,37
MALE,WHITE NON HISPANIC,Sam,37
FEMALE,BLACK NON HISPANIC,Taylor,37
MALE,ASIAN AND PACIFIC ISLANDER,Abdullah,36
FEMALE,WHITE NON HISPANIC,Alexa,36
MALE,ASIAN AND PACIFIC ISLANDER,Alvin,36
FEMALE,WHITE NON HISPANIC,Audrey,36
MALE,HISPANIC,Edward,36
FEMALE,HISPANIC,Evelyn,36
FEMALE,BLACK NON HISPANIC,Fatima,36
MALE,HISPANIC,Ivan,36
FEMALE,HISPANIC,Kiara,36
MALE,HISPANIC,Leo,36
FEMALE,HISPANIC,Natalia,36
MALE,BLACK NON HISPANIC,Nathaniel,36
FEMALE,WHITE NON HISPANIC,Noa,36
MALE,WHITE NON HISPANIC,Patrick,36
FEMALE,HISPANIC,Aria,35
FEMALE,WHITE NON HISPANIC,Aria,35
FEMALE,BLACK NON HISPANIC,Arianna,35
MALE,BLACK NON HISPANIC,Ashton,35
MALE,HISPANIC,Caleb,35
MALE,ASIAN AND PACIFIC ISLANDER,Eason,35
FEMALE,ASIAN AND PACIFIC ISLANDER,Fiona,35
MALE,WHITE NON HISPANIC,Gavin,35
FEMALE,WHITE NON HISPANIC,Hazel,35
MALE,BLACK NON HISPANIC,Jaden,35
MALE,ASIAN AND PACIFIC ISLANDER,Jasper,35
MALE,BLACK NON HISPANIC,Joel,35
MALE,BLACK NON HISPANIC,Jonathan,35
MALE,WHITE NON HISPANIC,Judah,35
FEMALE,BLACK NON HISPANIC,Kayla,35
FEMALE,HISPANIC,Khloe,35
MALE,BLACK NON HISPANIC,Matthew,35
MALE,ASIAN AND PACIFIC ISLANDER,Max,35
FEMALE,BLACK NON HISPANIC,Nevaeh,35
FEMALE,WHITE NON HISPANIC,Nicole,35
MALE,BLACK NON HISPANIC,Prince,35
FEMALE,HISPANIC,Savannah,35
MALE,BLACK NON HISPANIC,Alexander,34
FEMALE,HISPANIC,Alice,34
FEMALE,ASIAN AND PACIFIC ISLANDER,Anaya,34
FEMALE,ASIAN AND PACIFIC ISLANDER,Anna,34
MALE,BLACK NON HISPANIC,Anthony,34
MALE,WHITE NON HISPANIC,Arthur,34
FEMALE,ASIAN AND PACIFIC ISLANDER,Ashley,34
FEMALE,WHITE NON HISPANIC,Blima,34
MALE,WHITE NON HISPANIC,Dean,34
FEMALE,ASIAN AND PACIFIC ISLANDER,Fatima,34
MALE,WHITE NON HISPANIC,Finn,34
MALE,BLACK NON HISPANIC,Hunter,34
FEMALE,WHITE NON HISPANIC,Isla,34
MALE,WHITE NON HISPANIC,Israel,34
MALE,ASIAN AND PACIFIC ISLANDER,Kai,34
FEMALE,BLACK NON HISPANIC,Kylie,34
FEMALE,BLACK NON HISPANIC,Nia,34
MALE,ASIAN AND PACIFIC ISLANDER,Tenzin,34
FEMALE,HISPANIC,Valeria,34
FEMALE,WHITE NON HISPANIC,Vivienne,34
